,overall,reviewTime,reviewerID,asin,reviewText,title,brand
0,5.0,"04 15, 2002",A14PNOYQQCBGWB,B00000J4GP,"Good disks, the 5 colors make fileing data easy, and the box is quite handy too. Their cheap, preformatted, and come with all the neccesary labels. If I got a complaint, its that amazon doesnt specify the disks memory size -it's 1.44mb-","memorex 3.5 - inch pc-formatted high-density floppy disks with file box colors, 40-pack (discontinued by manufacturer)",Memorex
1,5.0,"07 27, 2001",A3VEROAVSRAMG2,B00000J4GP,"Nice plastic holder, good price for the disks.  The color coding is helpful.  I get nice results when I use these disks for digital photos.","memorex 3.5 - inch pc-formatted high-density floppy disks with file box colors, 40-pack (discontinued by manufacturer)",Memorex
2,3.0,"03 12, 2007",A1PDCC89PC852M,B00000J4GP,"I am sure the disks will perform as most 3.5""-ers do.  Case was cracked.  I don't think Amazon put any packing material to keep it from banging aroudn the box.  Disk's case was cracked.","memorex 3.5 - inch pc-formatted high-density floppy disks with file box colors, 40-pack (discontinued by manufacturer)",Memorex
3,4.0,"10 4, 2017",A24JJUT213APTI,B00000J4GP,Works well for the documents I type. Old school are usually the best was to go.,"memorex 3.5 - inch pc-formatted high-density floppy disks with file box colors, 40-pack (discontinued by manufacturer)",Memorex
4,1.0,"12 4, 2014",A31HLBRDGG7PS5,B00000J4GP,I use floppys for updating Nav databases on Aircraft each cycle monthly. I got the disks on time. 30 out of 40 disks failed  all garbage. It's very time consuming when these disks fail. Cessna XLS Falconjet And Gulfstream. I won't wast my time getting a refund. Time consuming.,"memorex 3.5 - inch pc-formatted high-density floppy disks with file box colors, 40-pack (discontinued by manufacturer)",Memorex
5,4.0,"12 23, 2011",A1LTG32UR3XK3P,B00001W0H1,"They work just fine, I forgot how slow and noisy these are! Packaged well and shipped fast, not really much more to say about them.",sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
6,4.0,"11 10, 2011",A1SJN10JTU3BON,B00001W0H1,"Not many sources to buy floppies these days, got it to copy DOS software for old application on Virtual Machine.

The labels included are of very low quality, won't stick, and got caught in the reader, had to be removed with a tweezer.

Otherwise, it is what it is--3 1/2 floppies.",sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
7,4.0,"09 7, 2011",A32M7HKY7SQ602,B00001W0H1,"The floppies work just fine for storing data with vintage music gear like the Yamaha EX5 or Akai S-series samplers. The only negative is that Sony is kind of stingy with the labels - they are only half size.

Considering the price of SmartMedia cards these days, I'm tempted to buy a few boxes both for my own future use and as an investment. There is a lot of 1990s-eara music gear that relies on floppy disks. Workstations, samplers, grooveboxes/sequencers, etc.",sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
8,4.0,"07 22, 2011",A37CV9OSQ1OJ2E,B00001W0H1,"I STILL HAVE AN OLD SONY CAMERA I USE FOR INTERNET PICTURES, THAT USES THE 3 1/2 DISKS. I USSUALY ALWAYS COULD PUT 4 PICTURES ON EACH DISK, BUT FOR SOME REASON I WAS ONLY ABLE TO GET 3 ON THESE, THEN I STARTED TO FORMAT THEM FIRST AND HAVE HAD NO FURTHER TROUBLE. IF YOU NEED A LOT OF DISKS FOR A GREAT PRICE THIS IS THE PLACE TO GO.",sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
9,4.0,"03 16, 2011",A2P5QLUH5P4XLC,B00001W0H1,Didn't work at all on my Windows XP system.  Worked flawlessly with no effort on my Windows Vista system.  Don't know why I had the difference.  Documentation says it should work on both.  I didn't pursue the XP problem with the manufacturer since I could get my old data using my Vista laptop.,sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
10,5.0,"10 1, 2016",A1II8TIK9ER32Y,B00001W0H1,Love it !!,sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
11,4.0,"03 20, 2016",AM7R7FG6LJ76O,B00001W0H1,"still need some floppies, have camera they still insert in, use for few other things, thanks for still selling..",sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
12,1.0,"03 1, 2016",A4VX4BOYJ66C6,B00001W0H1,also they don't seem to fit the hole on the side of my macbook. it goes a bit in and gets stuck,sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
13,5.0,"01 4, 2016",ATFQDL25BXWAT,B00001W0H1,"Three and one-half-inch floppy disks are so unreliable today.  When they first came out, and I began using them, they were .7 megs and very-very reliable.  Then the 1.44 meg disks appeared and they too were very reliable.  When the ""USB-thumb-drives"" appeared, floppy disks were used less and less, becoming very unreliable.  However, these SONY disk follow in the tradition of SONY and are reliable.  A good buy, but I think they may be out of production - unfortunately.

... mike",sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
14,5.0,"11 29, 2015",A2MC3UBVJ00ZMT,B00001W0H1,I can't remember buying this.,sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
15,4.0,"05 17, 2015",A104ERYF5R1M6,B00001W0H1,Useful for its purpose.,sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
16,5.0,"05 6, 2015",A22MLJENQOMKDI,B00001W0H1,gift,sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
17,3.0,"03 30, 2015",A3GQAITW2P8I4J,B00001W0H1,"Not in box as pictured, just plain box. It's okay",sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
18,5.0,"03 8, 2015",A1VTE1GT7YKA9W,B00001W0H1,EXCELLENT AS ALWAYS,sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
19,5.0,"11 3, 2014",A3FGG4FEI4AAZV,B00001W0H1,What can I say.  Sony diskettes are are Sony diskettes.  The work flawlessly.  I have been doing this since 1983 and I know from whence I speak. Buy some.,sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
20,5.0,"07 26, 2014",AB70LBRU3VGA3,B00001W0H1,They are excellent quality and did the job I needed them to do.,sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
21,5.0,"06 17, 2014",A2M9WZ8MY2KL7M,B00001W0H1,A great product that are going out of stock as CD can stored more data.  But for us old timer we are still using them.,sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
22,5.0,"12 30, 2013",A2PHUZ7F4FIUL1,B00001W0H1,Works great . Was a just what I needed no problem with it. Price was right .Easy to use would buy more if and when I need them.,sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
23,5.0,"07 23, 2013",A239ON6G2S2E9E,B00001W0H1,"With so few sources remaining for IBM formatted floppy disks, I was relieved to find them available on Amazon. With old computers still in use, and with Sony Mavica floppy disk cameras still in circulation, the demand for fresh, new disks, however rapidly dwindling it might be, is definitely still there.

The quality may have slipped a bit over the years, since of the many boxes I purchased, each had one or two defective disks that would not read or write, regardless of the efforts to reformat them. Even so, it was still a bargain.",sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
24,4.0,"11 26, 2012",A3IZF3M92E7SI2,B00001W0H1,"Does the job.  Can be found for a better price.  But, Sony is a good name with a good rep.",sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
25,5.0,"04 20, 2012",A3O5ZMPE76L8TJ,B00001W0H1,The Sony Floppy Discs were new. The discs were enclosed in the expected plastic wrapped container. The discs formatted properly so as to allow quality down loads from my workstation. The quality of the discs were consistent with other Sony discs that I have purchased in the past. I would recommend them to other potential shoppers!,sony 10mfd2hdlf 2hd 3.5-inch ibm formatted floppy disks (10-pack) (discontinued by manufacturer),Sony
